lon,lat
-122.26547241210936,37.87395569043575
-122.26489305496216,37.87397262833122
-122.26348221302032,37.8740276764646
-122.26523637771605,37.87299869301575
-122.26473212242126,37.873439082753116
-122.26423859596254,37.872659929887924
-122.26424932479858,37.8735153037866
-122.26343393325807,37.873320516544354
-122.26279020309448,37.87314266687338
-122.26231813430786,37.87358305575012
-122.26223230361938,37.874506170045144
-122.26328372955322,37.87140649277056
-122.26156711578368,37.87161822351022
-122.26548314094542,37.868848737363905
-122.26399183273314,37.870280075006306
-122.26221084594725,37.86935690775774
-122.26363778114319,37.86873016376773
-122.26085901260376,37.87256676975469
-122.25945353507996,37.87217718973932
-122.26055860519408,37.870576502403395
-122.26104140281676,37.869094353491874
-122.26114869117737,37.86970415551112
-122.26021528244019,37.86982272753989
-122.25878834724425,37.86955170547946
-122.25972175598143,37.86918751801588
-122.25918531417847,37.87131333105235
-122.2580587863922,37.87009374860341
-122.260365486145,37.87357458675809
-122.25934624671936,37.87431985433015
-122.25928187370302,37.87571721070645
-122.25873470306396,37.875691804463465
-122.25843429565428,37.87479411158687
-122.25725412368773,37.87443841893058
-122.25772619247437,37.874895737744644
-122.25794076919554,37.8736592766346
-122.25621342658995,37.874082724556864
-122.25599884986877,37.873134197830716
-122.25574135780334,37.87260064618041
-122.25421786308289,37.87370162153638
-122.25688934326172,37.87254136242518
-122.25507616996765,37.871389554285095
-122.25372433662416,37.871499654370965
-122.25578427314758,37.87109313015917
-122.25584864616393,37.86958558329154
-122.25664258003235,37.8695940527421
-122.25525856018066,37.86987354406524
-122.2534453868866,37.86979731926407
-122.2549045085907,37.87077976621497
-122.25393891334534,37.871016906619744
